name,user rating,Price,MS Office Provided,Dedicated Graphic Memory Capacity,SSD Capacity,Graphic Processor,Number of Cores,Operating System,Refresh Rate,Brand,Professional,Gaming,EveryDay,Processor,RAM(in GB),Price_Normalized,SSD Capacity (In Gb),SSD Capacity Normalized,Normalized review,Number of Cores_Normalized,HDD Capacity,HDD Capacity_Normalized,Price_Category,Pocket Friendly,Mid Range,High End,laptop_Link
"acer aspire 5 core i5 11th gen - (8 gb/512 gb ssd/windows 11 home) a515-56 thin and light laptop  (15.6 inch, pure silver, 1.65 kg, with ms office)",4.3,49990,1,0,512 gb,intel integrated iris xe,4,windows,,acer,0,0,0,core i5 11th gen,8,0.118881118881119,512,0.2,0.78125,0.230769230769231,0,0,Mid Range,0,1,0,https://m.media-amazon.com/images/I/71czGb00k5L._AC_UL320_.jpg
"acer celeron dual core - (4 gb/256 gb ssd/windows 11 home) tmb311-31 notebook  (11.6 inch, black, 1.4 kg)",4.20623188405797,24990,0,0,256 gb,intel integrated uhd graphics 600,2,windows,,acer,0,0,0,,4,0.0314685314685315,256,0.0666666666666667,0.751947463768116,0.0769230769230769,0,0,Pocket Friendly,1,0,0,https://m.media-amazon.com/images/I/617rprfdhRL._AC_UL320_.jpg
"acer celeron dual core - (4 gb/128 gb ssd/windows 11 home) tmb311-31 notebook  (11.6 inch, black, 1.4 kg)",4.20623188405797,23990,0,0,128 gb,intel integrated uhd graphics 600,2,windows,,acer,0,0,0,,4,0.027972027972028,128,0,0.751947463768116,0.0769230769230769,0,0,Pocket Friendly,1,0,0,https://m.media-amazon.com/images/I/71LVd5vKMfL._AC_UL320_.jpg
"acer nitro 5 core i5 11th gen - (8 gb/512 gb ssd/windows 11 home/4 gb graphics/nvidia geforce gtx 1650) an515-57 gaming laptop  (15.6 inch, shale black, 2.2 kg)",4.20623188405797,64990,0,4 gb,512 gb,nvidia geforce gtx 1650,6,windows,,acer,0,1,0,core i5 11th gen,8,0.171328671328671,512,0.2,0.751947463768116,0.384615384615385,0,0,Mid Range,0,1,0,https://m.media-amazon.com/images/I/71czGb00k5L._AC_UL320_.jpg
"acer aspire 3 core i5 11th gen - (8 gb/512 gb ssd/windows 11 home) a315-58 thin and light laptop  (15.6 inch, pure silver, 1.7 kg, with ms office)",4.20623188405797,49890,1,0,512 gb,intel integrated iris xe,2,windows,,acer,0,0,0,core i5 11th gen,8,0.118531468531469,512,0.2,0.751947463768116,0.0769230769230769,0,0,Mid Range,0,1,0,https://m.media-amazon.com/images/I/617rprfdhRL._AC_UL320_.jpg
"acer nitro 5 core i7 12th gen - (16 gb/1 tb hdd/512 gb ssd/windows 11 home/4 gb graphics/nvidia geforce rtx 3050 ti) an515-58 gaming laptop  (15.6 inch, shale black, 2.6 kg)",4.20623188405797,109990,0,4 gb,512 gb,nvidia geforce rtx 3050 ti,14,windows,,acer,0,1,0,core i7 12th gen,16,0.328671328671329,512,0.2,0.751947463768116,1,0,0,High End,0,0,1,https://m.media-amazon.com/images/I/71LVd5vKMfL._AC_UL320_.jpg
"acer predator helios 300 core i9 11th gen - (16 gb/1 tb ssd/windows 11 home/6 gb graphics/nvidia geforce rtx 3060/360 hz) ph315-54 gaming laptop  (15.6 inch, abyssal black, 2.3 kg)",4.20623188405797,144990,0,6 gb,1 tb,nvidia geforce rtx 3060,8,windows,360 hz,acer,0,1,0,core i9 11th gen,16,0.451048951048951,1024,0.466666666666667,0.751947463768116,0.538461538461539,0,0,High End,0,0,1,https://m.media-amazon.com/images/I/715Sum+EpLL._AC_UL320_.jpg
"acer extensa 15 pentium quad core - (4 gb/1 tb hdd/windows 11 home) ex215-31 laptop  (15.6 inch, black, 1.9 kg)",2.9,26990,0,0,,intel integrated uhd 605,,windows,,acer,0,0,0,,4,0.0384615384615385,,,0.34375,0,1,1,Pocket Friendly,1,0,0,https://m.media-amazon.com/images/I/71czGb00k5L._AC_UL320_.jpg
"acer extensa 15 core i3 11th gen - (4 gb/256 gb ssd/windows 11 home) ex215-54 thin and light laptop  (15.6 inch, charcoal black, 1.7 kg)",4.6,32990,0,0,256 gb,intel integrated uhd,4,windows,,acer,0,0,0,core i3 11th gen,4,0.0594405594405594,256,0.0666666666666667,0.875,0.230769230769231,0,0,Pocket Friendly,1,0,0,https://m.media-amazon.com/images/I/617rprfdhRL._AC_UL320_.jpg
"acer aspire 3 core i3 11th gen - (8 gb/512 gb ssd/windows 11 home) a315-58 notebook  (15.6 inch, pure silver, 1.7 kg, with ms office)",4.20623188405797,38990,1,0,512 gb,intel integrated uhd graphics,2,windows,,acer,0,0,0,core i3 11th gen,8,0.0804195804195804,512,0.2,0.751947463768116,0.0769230769230769,0,0,Pocket Friendly,1,0,0,https://m.media-amazon.com/images/I/71LVd5vKMfL._AC_UL320_.jpg
